id,source,language,url,headline,snippet,published_at,topic,sentiment_label,sentiment_score,sentiment_neg_score,sentiment_neu_score,sentiment_pos_score,sentiment_model,headline_sentiment_label,headline_sentiment_score,headline_sentiment_neg_score,headline_sentiment_neu_score,headline_sentiment_pos_score,headline_sentiment_model,emotion_label,emotion_intensity,entities_json,topic_label,topic_master,topic_confidence,scraped_at,emotion_label_clean,snippet_length,has_quality_snippet,has_full_analysis,is_duplicate,hour_of_day,day_of_week,time_period,headline_length,headline_word_count,entities_count,has_punctuation,question_in_headline,headline_starts_uppercase,entity_density,is_negative_security,source_label,source_lean,date,week,hour,time_of_day,sentiment_intensity,headline_intensity,sentiment_divergence
1,ynet,Hebrew,https://www.ynet.co.il/news/article/syqf1gzyfx,"גופמן נפגש אתמול עם הקצין שהתבקש למסור תצהיר לבג""ץ על מינויו לראש המוסד","ככל שידוע, ראש המוסד המיועד נפגש עם תא""ל ג', לשעבר ראש חטיבת ההפעלה באמ""ן, לפני שבג""ץ דרש את תצהירו כדי להכריע בסוגיית המינוי",2026-05-13 17:54:27,Security,Neutral,1.0,0.0,1.0,0.0,dicta-il/dictabert-sentiment,Neutral,1.0,0.0,1.0,0.0,dicta-il/dictabert-sentiment,neutral,0.3,"[{""name"": ""Gofman"", ""type"": ""person""}, {""name"": ""Mossad"", ""type"": ""organization""}, {""name"": ""Supreme Court of Justice"", ""type"": ""organization""}, {""name"": ""Intelligence Corps"", ""type"": ""organization""}, {""name"": ""Colonel G."", ""type"": ""person""}]",Mossad chief appointment legal challenge,Judicial & Legal,0.85,2026-05-13 15:18:47.827519,Neutral,125,True,True,False,17,Wednesday,Evening,71,13,5,False,False,False,0.3846153846153846,False,Ynet,Center-Left,2026-05-13,20,17,Evening,0.0,0.0,0.0
2,ynet,Hebrew,https://www.ynet.co.il/news/article/sjqouwg1zl,"נשיא בית דין צבאי שנחקר על עבירות מין פרש מצה""ל - ללא אישום פלילי","ב-ynet נחשף כי הקצין, בדרגת אל""מ, בדרך לפרוש מצה""ל ב""הסדר"". בצבא אישרו כי אחרי שהתחייב ליטול אחריות על מעשיו ופיצה את נפגע העבירה, התקבלה הכרעה להעמידו לדין משמעתי",2026-05-13 17:29:49,Politics + Security,Neutral,1.0,0.0,1.0,0.0,dicta-il/dictabert-sentiment,Neutral,1.0,0.0,1.0,0.0,dicta-il/dictabert-sentiment,disgust,0.75,"[{""name"": ""IDF"", ""type"": ""organization""}, {""name"": ""Shin Bet"", ""type"": ""organization""}]",Military court judge sexual offense investigation,Judicial & Legal,0.85,2026-05-13 15:18:47.834303,Disgust,163,True,True,False,17,Wednesday,Evening,65,14,2,False,False,False,0.1428571428571428,False,Ynet,Center-Left,2026-05-13,20,17,Evening,0.0,0.0,0.0
3,ynet,Hebrew,https://www.ynet.co.il/news/article/b1fgp211kmg,"משרד התפוצות: פעיל חמאס סיפק מידע לטור של זוכה הפוליצר - שהאשים את צה""ל באונס","בדוח של משרד התפוצות נכתב כי מקור המידע העיקרי לטור הדעה של זוכה הפוליצר ניקולס קריסטוף ב""ניו יורק טיימס"" - שהאשים את חיילי צה""ל בעבירות מין בפלסטינים - הוא מכון מחקר בראשות פעיל חמאס שנגדו הוציאה ישראל בעבר צו תפיסה מנהלי",2026-05-13 16:52:56,Politics + Security,Neutral,1.0,0.0,1.0,0.0,dicta-il/dictabert-sentiment,Neutral,0.9998,0.0002,0.9998,0.0,dicta-il/dictabert-sentiment,anger,0.85,"[{""name"": ""Ministry of Diaspora Affairs"", ""type"": ""organization""}, {""name"": ""Hamas"", ""type"": ""organization""}, {""name"": ""Nicholas Kristof"", ""type"": ""person""}, {""name"": ""New York Times"", ""type"": ""organization""}, {""name"": ""IDF"", ""type"": ""organization""}]",Hamas activist sourced critical reporting,International Diplomacy,0.75,2026-05-13 15:18:47.839601,Anger,222,True,True,False,16,Wednesday,Afternoon,77,15,5,False,False,False,0.3333333333333333,False,Ynet,Center-Left,2026-05-13,20,16,Afternoon,0.0,-0.0002,0.0002
4,ynet,Hebrew,https://www.ynet.co.il/news/article/skw8g11zjmx,פנמה: הרוגה ישראלית ופצועים בתאונת דרכים,"התאונה התרחשה באזור השעה 5:30 בלה צ'וררה. ארבעה ישראלים פונו עם פציעות שונות לבית חולים מקומי, לאחר שמיניבוס התיירים התנגש מאחור באוטובוס שעמד בתחנה",2026-05-13 16:50:13,Politics + Security,Neutral,0.9629,0.037,0.9629,0.0002,dicta-il/dictabert-sentiment,Neutral,0.8901,0.1099,0.8901,0.0,dicta-il/dictabert-sentiment,sadness,0.8,"[{""name"": ""Panama"", ""type"": ""location""}, {""name"": ""Israel"", ""type"": ""location""}, {""name"": ""La Chorrera"", ""type"": ""location""}]",Israeli tourist accident in Panama,Other,0.85,2026-05-13 15:18:47.845570,Sadness,148,True,True,False,16,Wednesday,Afternoon,40,6,3,False,False,False,0.5,False,Ynet,Center-Left,2026-05-13,20,16,Afternoon,-0.0368,-0.1099,0.0731
5,ynet,Hebrew,https://www.ynet.co.il/news/article/ryu9ulmkfl,"ישראלי נעצר באמסטרדם, החשד: הבריח סמים מהולנד בחבילות דואר","אזרח ישראלי תושב אמסטרדם נעצר בפעילות משותפת של משטרת הולנד ומשטרת ישראל, לאחר שהבריח סמים בין המדינות. חקירתו נמשכת ומעצרים נוספים צפויים - גם במדינות אחרות באירופה",2026-05-13 16:20:20,Politics,Neutral,1.0,0.0,1.0,0.0,dicta-il/dictabert-sentiment,Neutral,1.0,0.0,1.0,0.0,dicta-il/dictabert-sentiment,neutral,0.5,"[{""name"": ""Israel"", ""type"": ""location""}, {""name"": ""Netherlands"", ""type"": ""location""}, {""name"": ""Amsterdam"", ""type"": ""location""}, {""name"": ""Israel Police"", ""type"": ""organization""}, {""name"": ""Netherlands Police"", ""type"": ""organization""}]",drug smuggling arrest,Security Operations,0.75,2026-05-13 15:18:47.851002,Neutral,165,True,True,False,16,Wednesday,Afternoon,58,9,5,False,False,False,0.5555555555555556,False,Ynet,Center-Left,2026-05-13,20,16,Afternoon,0.0,0.0,0.0
6,ynet,Hebrew,https://www.ynet.co.il/news/article/rk7yg1m1ze,"אזהרת המח""ט לעוטף: ""כנראה שהלחימה תתחדש כי חמאס עוד לא פורק מנשקו""","אחרי שנתיים ו-7 חודשים מאז הטבח, מופצים ברשתות תיעודים של חמושים שמפגינים שליטה ברצועה. מפקד החטיבה הצפונית באוגדת עזה ערך סיור עם הרבש""צים של יישובי העוטף בצפון הרצועה. ""הבנו ממנו שיש סבירות שהכול יתחיל מחדש"", שיתף אחד המשתתפים. לפי הקצין, ""זו בסוף החלטת הדרג המדיני""",2026-05-13 16:03:08,Security,Neutral,0.9998,0.0001,0.9998,0.0001,dicta-il/dictabert-sentiment,Neutral,1.0,0.0,1.0,0.0,dicta-il/dictabert-sentiment,fear,0.85,"[{""name"": ""Hamas"", ""type"": ""organization""}, {""name"": ""Gaza"", ""type"": ""location""}, {""name"": ""Gaza Envelope Communities"", ""type"": ""location""}]",Gaza fighting resumption warning,Security Operations,0.92,2026-05-13 15:18:47.856009,Fear,268,True,True,False,16,Wednesday,Afternoon,66,12,3,False,False,False,0.25,False,Ynet,Center-Left,2026-05-13,20,16,Afternoon,0.0,0.0,0.0
7,ynet,Hebrew,https://www.ynet.co.il/news/article/hybmfcbyfe,"גמליאל: ""החרדים עוברים שינוי דרמטי""","השרה מהליכוד התייחסה להכרזת דגל התורה כי איבדו את האמון ברה""מ נתניהו, ואמרה באולפן ynet כי ""הטונים תמיד משתנים לפני הבחירות"". על חוק הפטור: ""כמה שיותר צריכים להתגייס. ניסינו להגיע להסכמה רחבה, אך לא הצלחנו""",2026-05-13 15:36:07,Politics,Neutral,1.0,0.0,1.0,0.0,dicta-il/dictabert-sentiment,Neutral,1.0,0.0,1.0,0.0,dicta-il/dictabert-sentiment,anger,0.7,"[{""name"": ""Miri Regev"", ""type"": ""person""}, {""name"": ""Likud"", ""type"": ""party""}, {""name"": ""Torah Flag"", ""type"": ""party""}, {""name"": ""Benjamin Netanyahu"", ""type"": ""person""}, {""name"": ""Knesset"", ""type"": ""organization""}]",coalition tensions over military draft,Coalition & Government,0.85,2026-05-13 15:18:47.862303,Anger,206,True,True,False,15,Wednesday,Afternoon,35,5,5,False,False,False,1.0,False,Ynet,Center-Left,2026-05-13,20,15,Afternoon,0.0,0.0,0.0
8,ynet,Hebrew,https://www.ynet.co.il/news/article/rk4ypkgkfl,"הרצוג מצפה לתשובה מנתניהו: ""צד אחד אמר שהוא מוכן לבוא לחדר, אני מצפה שגם השני""","היועמ""שית השיבה שהיא מוכנה לדיונים על הסדר, ראש הממשלה שביקש חנינה ולא נענה אם כן או לא - עדיין לא השיב, 10 ימים אחרי הדד-ליין. נשיא המדינה קרא לו לבוא לשיחות: ""אנחנו נכנסים לבחירות עם הרבה קיטוב - הדרך הנכונה זה להגיע להבנות והסדרים""",2026-05-13 15:30:10,Politics,Neutral,1.0,0.0,1.0,0.0,dicta-il/dictabert-sentiment,Neutral,1.0,0.0,1.0,0.0,dicta-il/dictabert-sentiment,anticipation,0.7,"[{""name"": ""Isaac Herzog"", ""type"": ""person""}, {""name"": ""Benjamin Netanyahu"", ""type"": ""person""}, {""name"": ""State President"", ""type"": ""organization""}]",Presidential mediation for negotiations,Coalition & Government,0.85,2026-05-13 15:18:47.867726,Anticipation,234,True,True,False,15,Wednesday,Afternoon,78,15,3,False,False,False,0.2,False,Ynet,Center-Left,2026-05-13,20,15,Afternoon,0.0,0.0,0.0
9,ynet,Hebrew,https://www.ynet.co.il/news/article/r1fc001gjzg,"""אנחנו מעצמות על - אבל סין שנייה"": טראמפ נחת לביקור היסטורי בבייג'ינג","נשיא ארה""ב הגיע לביקור ראשון זה עשור בסין - כשהוא מוחלש יותר בצל המלחמה באיראן, אך טען: ""אני לא צריך את עזרת בייג'ינג"". ההחלטה אם לחדש את המלחמה תידחה כנראה רק לתום הביקור בשישי, ובמהלכו ידון עם הנשיא שי ג'ינפינג בשלל סוגיות מחלוקת. על הפרק: אפשרות לעסקת שבבים-מינרלים נדירים, לחץ סיני להצהרה אמריקנית על ""התנגדות לעצמאות טייוואן"" – וביקור במקדש השמיים",2026-05-13 15:09:26,Politics + Security,Neutral,1.0,0.0,1.0,0.0,dicta-il/dictabert-sentiment,Neutral,1.0,0.0,1.0,0.0,dicta-il/dictabert-sentiment,anticipation,0.7,"[{""name"": ""Donald Trump"", ""type"": ""person""}, {""name"": ""Xi Jinping"", ""type"": ""person""}, {""name"": ""United States"", ""type"": ""location""}, {""name"": ""China"", ""type"": ""location""}, {""name"": ""Taiwan"", ""type"": ""location""}]",US-China diplomatic visit,International Diplomacy,0.85,2026-05-13 15:18:47.872525,Anticipation,352,True,True,False,15,Wednesday,Afternoon,69,12,5,False,False,False,0.4166666666666667,False,Ynet,Center-Left,2026-05-13,20,15,Afternoon,0.0,0.0,0.0
10,ynet,Hebrew,https://www.ynet.co.il/news/article/skq005tbkgl,"""ספרד וחברותיה רצו להטיל סנקציות על סמוטריץ' ובן גביר. אבל לא היה לזה רוב""","דיפלומט אירופי בכיר חושף כי מדינות באיחוד האירופי הציעו לנקוט בצעדים נגד השרים, אך נתקלו בהתנגדות ולכן התמקדו ב""מתנחלים אלימים"". לדבריו, ""אם אתה נכנס לכפר פלסטיני, גונב צאן ושורף מכוניות, אולי זה יגרום לך לחשוב שוב"". וגם: האם יוטלו עוד סנקציות - וההסבר שלו ל""השוואה"" בין ישראלים לבכירים בחמאס",2026-05-13 14:45:17,Politics + Security,Neutral,0.999,0.0009,0.999,0.0,dicta-il/dictabert-sentiment,Negative,1.0,1.0,0.0,0.0,dicta-il/dictabert-sentiment,anger,0.7,"[{""name"": ""Spain"", ""type"": ""location""}, {""name"": ""Bezalel Smotrich"", ""type"": ""person""}, {""name"": ""Itamar Ben-Gvir"", ""type"": ""person""}, {""name"": ""European Union"", ""type"": ""organization""}, {""name"": ""Hamas"", ""type"": ""organization""}]",EU sanctions on Israeli ministers,International Diplomacy,0.85,2026-05-13 15:18:47.878052,Anger,292,True,True,False,14,Wednesday,Afternoon,74,14,5,False,False,False,0.3571428571428571,False,Ynet,Center-Left,2026-05-13,20,14,Afternoon,-0.0009,-1.0,0.9991
