article_id,entity_name,entity_type,source,language,topic,topic_master,topic_label,sentiment_label,sentiment_score,sentiment_neg_score,sentiment_neu_score,sentiment_pos_score,headline_sentiment_label,headline_sentiment_score,headline_sentiment_neg_score,headline_sentiment_neu_score,headline_sentiment_pos_score,emotion_label_clean,published_at,time_period,day_of_week,is_duplicate,has_quality_snippet,source_label,source_lean,date,sentiment_intensity,headline_intensity,sentiment_divergence
1,Gofman,Person,ynet,Hebrew,security,Judicial & Legal,Mossad chief appointment legal challenge,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,neutral,2026-05-13 17:54:27,Evening,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
1,Mossad,Organization,ynet,Hebrew,security,Judicial & Legal,Mossad chief appointment legal challenge,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,neutral,2026-05-13 17:54:27,Evening,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
1,Supreme Court of Justice,Organization,ynet,Hebrew,security,Judicial & Legal,Mossad chief appointment legal challenge,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,neutral,2026-05-13 17:54:27,Evening,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
1,Intelligence Corps,Organization,ynet,Hebrew,security,Judicial & Legal,Mossad chief appointment legal challenge,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,neutral,2026-05-13 17:54:27,Evening,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
1,Colonel G.,Person,ynet,Hebrew,security,Judicial & Legal,Mossad chief appointment legal challenge,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,neutral,2026-05-13 17:54:27,Evening,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
2,IDF,Organization,ynet,Hebrew,both,Judicial & Legal,Military court judge sexual offense investigation,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,disgust,2026-05-13 17:29:49,Evening,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
2,Shin Bet,Organization,ynet,Hebrew,both,Judicial & Legal,Military court judge sexual offense investigation,Neutral,1.0,0.0,1.0,0.0,Neutral,1.0,0.0,1.0,0.0,disgust,2026-05-13 17:29:49,Evening,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,0.0,0.0
3,Ministry of Diaspora Affairs,Organization,ynet,Hebrew,both,International Diplomacy,Hamas activist sourced critical reporting,Neutral,1.0,0.0,1.0,0.0,Neutral,0.9998,0.0002,0.9998,0.0,anger,2026-05-13 16:52:56,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,-0.0002,0.0002
3,Hamas,Organization,ynet,Hebrew,both,International Diplomacy,Hamas activist sourced critical reporting,Neutral,1.0,0.0,1.0,0.0,Neutral,0.9998,0.0002,0.9998,0.0,anger,2026-05-13 16:52:56,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,-0.0002,0.0002
3,Nicholas Kristof,Person,ynet,Hebrew,both,International Diplomacy,Hamas activist sourced critical reporting,Neutral,1.0,0.0,1.0,0.0,Neutral,0.9998,0.0002,0.9998,0.0,anger,2026-05-13 16:52:56,Afternoon,Wednesday,False,True,Ynet,Center-Left,2026-05-13,0.0,-0.0002,0.0002
